Hostname,ip,power5g,freq5g,power2g,freq2g,mac,building
room106ap1,10.1.0.75,4,38,5,1,e0:46:9a:5a:ec:85,conf
room106ap2,10.1.0.76,4,46,5,11,e0:46:9a:5a:c0:51,expo
room106ap3,10.1.0.77,4,54,5,6,e0:46:9a:5a:bf:fd,conf
room106ap4,10.1.0.78,4,151,5,11,e0:46:9a:5a:c0:1b,conf
outsideroom106ap,10.1.0.79,4,159,5,1,e0:46:9a:5a:df:b0,conf
room107ap1,10.1.0.80,4,38,5,1,e0:46:9a:5a:e0:0d,conf
room107ap2,10.1.0.81,4,46,5,6,e0:46:9a:5a:c0:54,conf
room107ap3,10.1.0.82,4,151,5,1,e0:46:9a:5a:e0:c4,conf
room107ap4,10.1.0.83,4,159,5,11,e0:46:9a:5a:bf:94,conf
outsideroom107ap,10.1.0.84,4,142,5,6,e0:46:9a:5a:c0:c6,conf
room101-102ap1,10.1.0.85,4,159,5,11,e0:46:9a:5a:c0:f6,conf
room101-102ap2,10.1.0.86,4,126,5,1,e0:46:9a:5a:f0:24,conf
room101-102ap3,10.1.0.87,4,102,5,6,74:44:01:84:81:50,conf
room101-102ap4,10.1.0.88,4,118,5,11,c4:04:15:8f:50:82,conf
room101-102ap5,10.1.0.89,4,46,5,6,c4:04:15:9b:4c:03,conf
outsideroom101ap,10.1.0.90,4,134,5,1,e0:46:9a:5a:df:b6,conf
room103ap1,10.1.0.91,4,126,5,11,c4:04:15:8f:30:72,conf
room103ap2,10.1.0.92,4,38,5,6,08:bd:43:ba:a6:5b,conf
room103ap3,10.1.0.93,4,151,5,1,08:bd:43:b2:8b:56,conf
room104-105ap1,10.1.0.94,4,62,5,1,c4:04:15:90:1b:d1,conf
room104-105ap2,10.1.0.95,4,38,5,11,44:94:fc:8d:12:76,conf
room104-105ap3,10.1.0.96,4,159,5,6,e0:46:9a:5a:c0:36,conf
room104-105ap4,10.1.0.97,4,46,5,1,44:94:fc:91:e9:36,conf
room104-105ap5,10.1.0.98,4,102,5,11,08:bd:43:c8:7b:11,conf
outsideroom105ap,10.1.0.99,4,126,5,11,e0:46:9a:5a:c0:09,conf
room204ap,10.1.0.100,4,46,5,6,74:44:01:71:b4:e9,conf
room205ap,10.1.0.101,4,159,5,11,74:44:01:93:75:d2,conf
Ham-ap,10.1.0.102,4,38,5,1,2c:b0:5d:7f:51:9f,conf
room207ap,10.1.0.103,4,62,5,1,44:94:fc:73:02:80,conf
room208ap,10.1.0.104,4,134,5,11,04:a1:51:a3:09:0e,conf
outsideroom208ap,10.1.0.105,4,126,5,6,04:a1:51:ac:68:7d,conf
