Hostname,ip,power5g,freq5g,power2g,freq2g,mac,building,model
room106ap1,10.1.0.75,4,36,5,1,e0:46:9a:5a:ec:85,conf,3700v2
room106ap2,10.1.0.76,4,48,5,6,e0:46:9a:5a:c0:51,expo,3700v2
room106ap3,10.1.0.77,4,,5,11,e0:46:9a:5a:bf:fd,conf,3700v2
room106ap4,10.1.0.78,4,,5,,e0:46:9a:5a:c0:1b,conf,3700v2
outsideroom106ap,10.1.0.79,4,,5,1,e0:46:9a:5a:df:b0,conf,3700v2
room107ap1,10.1.0.80,4,,5,,e0:46:9a:5a:e0:0d,conf,3700v2
room107ap2,10.1.0.81,4,,5,,e0:46:9a:5a:c0:54,conf,3700v2
room107ap3,10.1.0.82,4,,5,,e0:46:9a:5a:e0:c4,conf,3700v2
room107ap4,10.1.0.83,4,,5,,e0:46:9a:5a:bf:94,conf,3700v2
outsideroom107ap,10.1.0.84,4,,5,,e0:46:9a:5a:c0:c6,conf,3700v2
room101-102ap1,10.1.0.85,4,,5,,e0:46:9a:5a:c0:f6,conf,3700v2
room101-102ap2,10.1.0.86,4,,5,,e0:46:9a:5a:f0:24,conf,3700v2
room101-102ap3,10.1.0.87,4,,5,,74:44:01:84:81:50,conf,3800
room101-102ap4,10.1.0.88,4,,5,,c4:04:15:8f:50:82,conf,3800
room101-102ap5,10.1.0.89,4,,5,,c4:04:15:9b:4c:03,conf,3800
outsideroom101ap,10.1.0.90,4,,5,,e0:46:9a:5a:df:b6,conf,3700v2
room103ap1,10.1.0.91,4,,5,,c4:04:15:8f:30:72,conf,3800
room103ap2,10.1.0.92,4,,5,,08:bd:43:ba:a6:5b,conf,3800
room103ap3,10.1.0.93,4,,5,,08:bd:43:b2:8b:56,conf,3800
room104-105ap1,10.1.0.94,4,,5,,c4:04:15:90:1b:d1,conf,3800
room104-105ap2,10.1.0.95,4,,5,,44:94:fc:8d:12:76,conf,3800
room104-105ap3,10.1.0.96,4,,5,,e0:46:9a:5a:c0:36,conf,3700v2
room104-105ap4,10.1.0.97,4,,5,,44:94:fc:91:e9:36,conf,3800
room104-105ap5,10.1.0.98,4,,5,,08:bd:43:c8:7b:11,conf,3800
outsideroom105ap,10.1.0.99,4,,5,,e0:46:9a:5a:c0:09,conf,3700v2
room204ap,10.1.0.100,4,,5,,74:44:01:71:b4:e9,conf,3800
room205ap,10.1.0.101,4,,5,,74:44:01:93:75:d2,conf,3800
Ham-ap,10.1.0.102,4,,5,,2c:b0:5d:7f:51:9f,conf,3800
room207ap,10.1.0.103,4,,5,,44:94:fc:73:02:80,conf,3800
room208ap,10.1.0.104,4,,5,,04:a1:51:a3:09:0e,conf,3800
outsideroom208ap,10.1.0.105,4,,5,,04:a1:51:ac:68:7d,conf,3800
room209-210ap1,10.1.0.106,4,,5,,e0:46:9a:5a:e0:43,conf,3700v2
room209-210ap2,10.1.0.107,4,,5,,44:94:fc:73:34:78,conf,3800
room211ap1,10.1.0.108,4,,5,,04:a1:51:9b:a0:7e,conf,3800
room211ap2,10.1.0.109,4,,5,,04:a1:51:a3:31:8e,conf,3800
room211ap3,10.1.0.110,4,,5,,e0:46:9a:5a:e0:6d,conf,3700v2
outsideroom211ap,10.1.0.111,4,,5,,28:c6:8e:c1:a9:ed,conf,3800
room214ap1,10.1.0.112,4,,5,,44:94:fc:73:7a:f2,conf,3800
room214ap2,10.1.0.113,4,,5,,e0:46:9a:5a:df:e0,conf,3700v2
room214ap3,10.1.0.114,4,,5,,44:94:fc:95:ea:45,conf,3800
outsideroom214ap,10.1.0.115,4,,5,,04:a1:51:8b:0f:f9,conf,3800
room215ap,10.1.0.116,4,,5,,20:4e:7f:85:a8:40,conf,3800
ballroomAap1,10.1.0.117,4,,5,,44:94:fc:7f:5f:23,expo,3800
ballroomAap2,10.1.0.118,4,,5,,04:a1:51:ac:a9:06,expo,3800
ballroomAap3,10.1.0.119,4,,5,,e0:46:9a:51:74:30,expo,3700v2
ballroomAap4,10.1.0.120,4,,5,,e0:46:9a:5a:e9:22,expo,3700v2
ballroomBap1,10.1.0.121,4,,5,,e0:46:9a:5a:c0:12,expo,3700v2
ballroomBap2,10.1.0.122,4,,5,,08:bd:43:ac:7b:b9,expo,3800
ballroomBap3,10.1.0.123,4,,5,,04:a1:51:a0:60:a4,expo,3800
ballroomBap4,10.1.0.124,4,,5,,04:a1:51:a0:16:85,expo,3800
outsideofballroomBap,10.1.0.125,4,,5,,e0:46:9a:5a:e0:b5,expo,3700v2
ballroomCap1,10.1.0.126,4,,5,,04:a1:51:b1:71:e5,expo,3800
ballroomCap2,10.1.0.127,4,,5,,e0:46:9a:5a:e3:88,expo,3700v2
ballroomCap3,10.1.0.128,4,,5,,44:94:fc:8d:37:03,expo,3800
ballroomCap4,10.1.0.129,4,,5,,c4:04:15:90:57:c5,expo,3800
outsideofballroomCap,10.1.0.130,4,,5,,e0:46:9a:5a:e6:25,expo,3700v2
Lobbyap,10.1.0.131,4,,5,,c4:04:15:a1:14:83,expo,3800
ballroomDEap1,10.1.0.132,4,,5,,08:bd:43:be:49:b3,expo,3800
ballroomDEap2,10.1.0.133,4,,5,,c4:04:15:9d:72:1c,expo,3800
ballroomDEap3,10.1.0.134,4,,5,,08:bd:43:c8:74:69,expo,3800
ballroomDEap4,10.1.0.135,4,,5,,c4:04:15:9b:46:60,expo,3800
ballroomDEap5,10.1.0.136,4,,5,,c4:04:15:a1:19:81,expo,3800
ballroomDEap6,10.1.0.137,4,,5,,08:bd:43:ac:78:d7,expo,3800
ballroomDEap7,10.1.0.138,4,,5,,08:bd:43:b9:ed:3c,expo,3800
ballroomDEap8,10.1.0.139,4,,5,,08:bd:43:ac:5f:6c,expo,3800
ballroomDEap9,10.1.0.140,4,,5,,74:44:01:7a:9c:3e,expo,3800
outsideofballroomDEap1,10.1.0.141,4,,5,,10:0d:7f:45:73:bc,expo,3800
outsideofballroomDEap2,10.1.0.142,4,,5,,c4:04:15:9b:58:99,expo,3800
ballroomFap1,10.1.0.143,4,,5,,08:bd:43:c3:7e:bb,expo,3800
ballroomFap2,10.1.0.144,4,,5,,08:bd:43:ab:9b:f4,expo,3800
ballroomFap3,10.1.0.145,4,,5,,c4:04:15:9b:5e:b4,expo,3800
ballroomFap4,10.1.0.146,4,,5,,44:94:fc:72:d2:c8,expo,3800
outsideofballroomFap1,10.1.0.147,4,,5,,e0:46:9a:5a:c0:78,expo,3700v2
outsideofballroomFap2,10.1.0.148,4,,5,,2c:b0:5d:a0:db:52,expo,3800
ballroomGap1,10.1.0.149,4,,5,,44:94:fc:7f:49:0c,expo,3800
ballroomGap2,10.1.0.150,4,,5,,44:94:fc:8d:1c:78,expo,3800
ballroomGap3,10.1.0.151,4,,5,,e0:46:9a:5a:be:41,expo,3700v2
ballroomGap4,10.1.0.152,4,,5,,08:bd:43:b1:52:5e,expo,3800
outsideofballroomGap,10.1.0.153,4,,5,,c4:04:15:9a:64:82,expo,3800
ballroomHap1,10.1.0.154,4,,5,,04:a1:51:9d:7b:14,expo,3800
ballroomHap2,10.1.0.155,4,,5,,e0:46:9a:5a:e0:25,expo,3700v2
ballroomHap3,10.1.0.156,4,,5,,08:bd:43:ba:ac:b2,expo,3800
ballroomHap4,10.1.0.157,4,,5,,04:a1:51:ba:72:a9,expo,3800
ballroomJap1,10.1.0.158,4,,5,,c4:04:15:a3:5d:11,expo,3800
ballroomJap2,10.1.0.159,4,,5,,08:bd:43:ac:b0:12,expo,3800
ballroomIap1,10.1.0.160,4,,5,,c4:04:15:9a:fd:13,expo,3800
ballroomIap2,10.1.0.161,4,,5,,08:bd:43:b0:ea:7b,expo,3800
expoAap1,10.1.0.162,4,,5,,04:a1:51:ba:45:d9,expo,3800
expoAap2,10.1.0.163,4,,5,,44:94:fc:73:25:09,expo,3800
expoAap3,10.1.0.164,4,,5,,c4:04:15:a3:90:8c,expo,3800
expoAap4,10.1.0.165,4,,5,,c4:04:15:ad:a3:93,expo,3800
expoAap5,10.1.0.166,4,,5,,44:94:fc:8c:f0:f8,expo,3800
expoAap6,10.1.0.167,4,,5,,44:94:fc:72:f5:93,expo,3800
expoAap7,10.1.0.168,4,,5,,04:a1:51:a3:31:f4,expo,3800
outsideofexpoAap,10.1.0.169,4,,5,,c4:04:15:a9:90:d8,expo,3800
expoBap1,10.1.0.170,4,,5,,2c:b0:5d:87:4f:df,expo,3800
expoBap2,10.1.0.171,4,,5,,2c:b0:5d:a0:f2:ef,expo,3800
expoBap3,10.1.0.172,4,,5,,74:44:01:81:72:8b,expo,3800
expoBap4,10.1.0.173,4,,5,,20:4e:7f:8e:57:69,expo,3800
expoBap5,10.1.0.174,4,,5,,74:44:01:7a:b7:59,expo,3800
expoBap6,10.1.0.175,4,,5,,20:4e:7f:85:db:c7,expo,3800
expoBap7,10.1.0.176,4,,5,,28:c6:8e:c5:f7:9a,expo,3800
expoBap8,10.1.0.177,4,,5,,20:4e:7f:91:b0:f9,expo,3800
expoBap9,10.1.0.178,4,,5,,74:44:01:96:55:2b,expo,3800
expoBap10,10.1.0.179,4,,5,,20:4e:7f:91:a2:44,expo,3800
outsideofexpoBap,10.1.0.180,4,,5,,a0:21:b7:a2:d3:67,expo,3700v2
regdeskAP,10.1.0.181,4,,5,,74:44:01:96:52:b2,expo,3800
